,reportedTests,reportedCases,specimenCases,reportedDeaths,specimenDeaths,certificateDeaths,hospitalisations,inHospital,posTests,mortCases,mortality,hospitalisationRate
2020-09-11,8008.571428571428,122.57142857142857,150.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,50.714285714285715,39.285714285714285,1.5305030324652158,1194.0,0.011964584828906437,4.2474276142617855
2020-09-12,8681.42857142857,135.0,151.71428571428572,0.0,0.14285714285714285,0.42857142857142855,54.714285714285715,39.714285714285715,1.555043607042949,1312.0,0.01088850174216028,4.170296167247386
2020-09-13,9265.142857142857,144.14285714285714,156.42857142857142,0.0,0.2857142857142857,0.5714285714285714,56.57142857142857,39.714285714285715,1.555754286419144,1440.2857142857144,0.0198373338623289,3.927792104741122
2020-09-14,9369.57142857143,151.28571428571428,161.0,0.0,0.2857142857142857,0.42857142857142855,58.42857142857143,40.714285714285715,1.614649244514919,1575.4285714285713,0.018135654697134566,3.708741385564019
2020-09-15,9401.57142857143,145.57142857142858,164.0,0.0,0.5714285714285714,0.7142857142857143,56.714285714285715,43.285714285714285,1.5483733722326054,1703.2857142857144,0.03354860353937767,3.329698901283234
2020-09-16,9687.0,150.42857142857142,171.0,0.0,0.8571428571428571,1.0,58.0,45.714285714285715,1.552891209131531,1834.142857142857,0.046732611574110135,3.1622400498481187
2020-09-17,9977.42857142857,159.85714285714286,181.71428571428572,0.42857142857142855,1.1428571428571428,1.2857142857142858,57.0,46.714285714285715,1.6021877953094128,1973.857142857143,0.05789968878917275,2.887746978359991
2020-09-18,9893.714285714286,167.28571428571428,196.14285714285714,0.5714285714285714,1.0,1.1428571428571428,52.857142857142854,50.42857142857143,1.6908282314889684,2118.714285714286,0.047198435708987935,2.4947744589036476
2020-09-19,9545.142857142857,174.14285714285714,216.14285714285714,0.8571428571428571,1.0,1.1428571428571428,49.857142857142854,56.142857142857146,1.824413314176245,2269.4285714285716,0.04406395568425028,2.1969029334004784
2020-09-20,9528.42857142857,179.42857142857142,228.71428571428572,0.8571428571428571,1.0,1.2857142857142858,46.0,62.714285714285715,1.8830867029490697,2425.142857142857,0.04123468426013196,1.8967954759660701
2020-09-21,9796.714285714286,186.71428571428572,246.14285714285714,0.8571428571428571,1.1428571428571428,1.5714285714285714,46.0,70.42857142857143,1.9058868133630806,2587.428571428571,0.044169611307420496,1.777826855123675
2020-09-22,9765.142857142857,211.14285714285714,276.85714285714283,0.8571428571428571,1.2857142857142858,1.8571428571428572,44.57142857142857,76.14285714285714,2.162209608520101,2773.5714285714284,0.04635591037857327,1.6070048931238732
2020-09-23,9941.285714285714,238.28571428571428,301.2857142857143,1.1428571428571428,1.4285714285714286,1.8571428571428572,45.285714285714285,84.28571428571429,2.3969305493684345,2985.0,0.04785833931562575,1.5171093563053362
2020-09-24,9951.285714285714,264.0,309.14285714285717,0.8571428571428571,1.1428571428571428,1.5714285714285714,52.714285714285715,92.85714285714286,2.65292352746953,3219.8571428571427,0.03549403256577488,1.6371622520963665
2020-09-25,10166.57142857143,283.2857142857143,329.0,1.1428571428571428,1.2857142857142858,1.8571428571428572,56.42857142857143,103.85714285714286,2.786442964336902,3474.0,0.037009622501850484,1.624311209803438
