2021-08-17,4283,16069
2021-08-18,2836,14416
2021-08-19,2731,14081
2021-08-20,4018,14954
2021-08-21,3941,15239
2021-08-22,3202,15095
2021-08-23,2854,15103
2021-08-24,3342,16284
2021-08-25,3401,14258
2021-08-26,3168,11795
2021-08-27,2615,11383
2021-08-28,3233,14422
2021-08-29,2376,12754
2021-08-30,2721,12720
2021-08-31,2396,10305
2021-09-01,2709,8184
2021-09-02,3039,10078
2021-09-03,2595,8259
2021-09-04,4815,9182
2021-09-05,4301,9993
2021-09-06,2735,6064
2021-09-07,1843,6941
2021-09-08,2765,7570
2021-09-09,1723,5030
2021-09-10,2381,6953
2021-09-11,2906,8141
2021-09-12,2167,7753
2021-09-13,2121,3337
2021-09-14,1943,3046
2021-09-15,1887,4300
2021-09-16,1423,3041
2021-09-17,1578,3245
2021-09-18,3313,4797
2021-09-19,2565,3795
2021-09-20,3222,2772
2021-09-21,2400,2360
2021-09-22,2821,2521
2021-09-23,2222,1754
2021-09-24,4295,3892
2021-09-25,4259,3036
2021-09-26,4785,2771
2021-09-27,2957,2617
